"ID";"Группа";"Наименование";"Артикул";"Комментарий";"НаименованиеПолное";"Саплаер";"Освещение";"Пиво";"Район";"Улица";"Размер";"Вид";"Сторона";"Популярность";"ЯндексКоординаты";"Цена";"Валюта"
"UT000000779";"Призматрон 3*4";"Призматрон 3*4 ул.Осипенко-Комсомольская (Овентал Тауэр), сторона В2";"192В2";"Призматрон, расположен на пересечении ул.Осипенко- Менделеев Хаус (по направлению движения от профсоюзной в сторону ДК Нефтяник)";"Размещение рекламной информации на призматроне 3*4 по адресу ул.Осипенко-Комсомольская (Овентал Тауэр), сторона В2, инв.192В2";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Осипенко";"3*4";"Призматрон";"B2";"Средняя";"57.156877,65.558297";9000;"RUB"
"UT000000780";"Призматрон 3*4";"Призматрон 3*4 ул.Осипенко-Комсомольская (Овентал Тауэр), сторона В3";"192В3";"Призматрон, расположен на пересечении ул.Осипенко- Менделеев Хаус (по направлению движения от профсоюзной в сторону ДК Нефтяник)";"Размещение рекламной информации на призматроне 3*4 по адресу ул.Осипенко-Комсомольская (Овентал Тауэр), сторона В3, инв.192В3";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Осипенко";"3*4";"Призматрон";"B3";"Средняя";"57.156877,65.558297";9000;"RUB"
"UT000000797";"Призматрон 3*6";"Призматрон 3*6 ул.Московский тр.,161 - АЗС "Лукойл", сторона А2";"107А2";"Призматрон установлен в 150м. от кольцевой развязки с объездной автодорогой и трассы Тюмень - Екатеринбург, а также в 750м. от ТРЦ Колумб (МосМарт, Л'Этуаль, Modis). Ст. А - в город и к ТРЦ.";"Размещение рекламной информации на призматроне 3*6 по адресу ул.Московский тр.,161-АЗС "Лукойл", сторона А2, инв.107А2";"ООО "Тюменьстройбыт"";"1";"1";"Спальные";"Московский тракт";"3*6";"Призматрон";"А2";"Средняя";"57.131095,65.485506";18000;"RUB"
"UT000000798";"Призматрон 3*6";"Призматрон 3*6 ул.Московский тр.,161 - АЗС "Лукойл", сторона А3";"107А2";"Призматрон установлен в 150м. от кольцевой развязки с объездной автодорогой и трассы Тюмень - Екатеринбург, а также в 750м. от ТРЦ Колумб (МосМарт, Л'Этуаль, Modis). Ст. А - в город и к ТРЦ.";"Размещение рекламной информации на призматроне 3*6 по адресу ул.Московский тр.,161-АЗС "Лукойл", сторона А3 инв.107А3";"ООО "Тюменьстройбыт"";"1";"1";"Спальные";"Московский тракт";"3*6";"Призматрон";"А3";"Средняя";"57.131095,65.485506";18000;"RUB"
"UT000000806";"Призматрон 3*6";"Призматрон 3*6 ул.50 лет ВЛКСМ, 63 - ТРЦ Премьер, сторона А3";"108А3";"Призматрон установлен на ул.50 лет ВЛКСМ, на повороте к ТРЦ Премьер (Л'Этуаль, Ecco etc.) и ТЦ Премьер-Дом (мебель, материалы).  Ст. А -  к путепроводу по ул.Мельникайте";"Размещение рекламной информации на призматоне 3*6 по адресу ул.50 лет ВЛКСМ, 63-ТРЦ Премьер, сторона А3, инв.108А3";"ООО "Тюменьстройбыт"";"1";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Призматрон";"А3";"ТОП";"57.133022,65.560771";21000;"RUB"
"UT000000807";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ, 63 - ТРЦ Премьер, сторона В";"108В";"50 лет ВЛКСМ, 63 - ТРЦ Премьер. Щит установлен на ул.50 лет ВЛКСМ, на повороте к ТРЦ Премьер (Л'Этуаль, Ecco etc.) и ТЦ Премьер-Дом (мебель, материалы).  Сторона В -  от путепровода по ул.Мельникайте";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ, 63-ТРЦ Премьер, сторона В, инв.108В";"ООО "Тюменьстройбыт"";"1";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"B";"ТОП";"57.133022,65.560771";18000;"RUB"
"UT000000809";"Щиты 3*6";"Щит 3*6 ул.Луначарского-Полевая, сторона А2";"128А2";"Луначарского - ПолеваяБилборд установлен на перекрестке улиц Луначарского и Полевая, в районе Дом Обороны, в котором  рекламных установок крайне мало. Ст. А - от ул. Ямская в город к  ул. Республика";"Размещение рекламной информации на щите 3*6 по адресу ул.Луначарского-Полевая, сторона А2, инв.128А2";"ООО "Тюменьстройбыт"";"2";"2";"Спальные";"Луначарского";"3*6";"Щит";"А2";"ТОП";"57.162356,65.502839";19500;"RUB"
"UT000000810";"Щиты 3*6";"Щит 3*6 ул.Луначарского-Полевая, сторона А3";"128А3";"Луначарского - ПолеваяБилборд установлен на перекрестке улиц Луначарского и Полевая, в районе Дом Обороны, в котором  рекламных установок крайне мало. Ст. А - от ул. Ямская в город к  ул. Республика";"Размещение рекламной информации на щите 3*6 по адресу ул.Луначарского-Полевая, сторона А3, инв.128А3";"ООО "Тюменьстройбыт"";"2";"2";"Спальные";"Луначарского";"3*6";"Щит";"А3";"ТОП";"57.162356,65.502839";19500;"RUB"
"UT000000879";"Бин-Боксы";"Бин-Бокс ул.Ленина (пл.Примирения и согласия) у ЦУМа 1, сторона А1";"38А1";"Ленина (пл. Примирения и согласия) у ЦУМа 65.541893,57.149273";"Размещение рекламной информации на постерах 0,85*0,65 по адресу ул.Ленина (пл.Примирения и согласия) у ЦУМа, сторона А1, инв.38А1";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Ленина";"0,85*0,65";"БинБокс";"А1";"Низкая";"57.149273,65.541893";3000;"RUB"
"UT000000986";"Щиты 3*6";"Щит 3*6 ул.50 лет Октября, 70, (Областная стоматология), сторона А1";"30А1";"Билборд установлен на одной из самых загруженных транспортом магистралей - 50 лет Октября, в 100м. от перекрестка с ул.Севастопольская, рядом с автоцентром Лада Плюс. Ст. А1 -  к ул. Мельникайте и центру города";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет Октября-Севастопольская, сторона А1, инв.30А1";"ООО "Тюменьстройбыт"";"1";"1";"Центр";"50 лет Октября";"3*6";"Щит";"А1";"Средняя";"57.138708,65.594748";14100;"RUB"
"UT000000987";"Щиты 3*6";"Щит 3*6 ул.50 лет Октября, 70, (Областная стоматология), сторона А2";"30А5";"Билборд установлен на одной из самых загруженных транспортом магистралей - 50 лет Октября, в 100м. от перекрестка с ул.Севастопольская, рядом с автоцентром Лада Плюс. Ст. А2 -  к ул. Пермякова";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет Октября-Севастопольская, сторона А2, инв.30А5";"ООО "Тюменьстройбыт"";"1";"1";"Центр";"50 лет Октября";"3*6";"Щит";"А2";"Средняя";"57.138708,65.594748";14100;"RUB"
"UT000000988";"Призматрон 3*6";"Призматрон 3*6 ул.50 лет Октября - Одесская, 40а, Монетка, сторона А1";"7А1";"Призматрон установлен на одной из самых загруженных транспортом магистралей - 50 лет Октября, на перекрестке с ул.Одесская.  Сторона А работает в направлении движения к ул.Пермякова.";"Размещение рекламной информации на призматроне 3*6 по адресу ул.50 лет Октября-Одесская, 40а, сторона А, инв.7А1";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"50 лет Октября";"3*6";"Призматрон";"А1";"Средняя";"57.14264,65.586568";21000;"RUB"
"UT000000989";"Призматрон 3*6";"Призматрон 3*6 ул.50 лет Октября - Одесская, 40а, Монетка, сторона А2";"7А2";"Призматрон установлен на одной из самых загруженных транспортом магистралей - 50 лет Октября, на перекрестке с ул.Одесская.  Сторона А работает в направлении движения к ул.Пермякова.";"Размещение рекламной информации на призматроне 3*6 по адресу ул.50 лет Октября-Одесская, 40а, сторона А, инв.7А2";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"50 лет Октября";"3*6";"Призматрон";"А2";"Средняя";"57.14264,65.586568";21000;"RUB"
"UT000000990";"Призматрон 3*6";"Призматрон 3*6 ул.50 лет Октября - Одесская, 40а, Монетка, сторона А3";"7А3";"Призматрон установлен на одной из самых загруженных транспортом магистралей - 50 лет Октября, на перекрестке с ул.Одесская.  Сторона А работает в направлении движения к ул.Пермякова.";"Размещение рекламной информации на призматроне 3*6 по адресу ул.50 лет Октября-Одесская, 40а, сторона А, инв.7А3";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"50 лет Октября";"3*6";"Призматрон";"А3";"Средняя";"57.14264,65.586568";21000;"RUB"
"UT000000991";"Призматрон 3*6";"Призматрон 3*6 ул.50 лет Октября - Холодильная, сторона А1";"28А1";"Призматрон установлен на одной из самых загруженых транспортом магистралей - 50 лет Октября, на перекрестке с ул.Холодильная. Первый от светофора. Сторона А работает в направлении движения к ул.Мельникайте.";"Размещение рекламной информации на призматроне 3*6 по адресу ул.50 лет Октября-Холодильная, сторона А, инв.28А1";"ООО "Тюменьстройбыт"";"1";"1";"Центр";"50 лет Октября";"3*6";"Призматрон";"А1";"ТОП";"57.148381,65.575437";21000;"RUB"
"UT000000992";"Призматрон 3*6";"Призматрон 3*6 ул.50 лет Октября - Холодильная, сторона А2";"28А2";"Призматрон установлен на одной из самых загруженых транспортом магистралей - 50 лет Октября, на перекрестке с ул.Холодильная. Первый от светофора. Сторона А работает в направлении движения к ул.Мельникайте.";"Размещение рекламной информации на призматроне 3*6 по адресу ул.50 лет Октября-Холодильная, сторона А, инв.28А2";"ООО "Тюменьстройбыт"";"1";"1";"Центр";"50 лет Октября";"3*6";"Призматрон";"А2";"ТОП";"57.148381,65.575437";21000;"RUB"
"UT000000993";"Призматрон 3*6";"Призматрон 3*6 ул.50 лет Октября - Холодильная, сторона А3";"28А3";"Призматрон установлен на одной из самых загруженых транспортом магистралей - 50 лет Октября, на перекрестке с ул.Холодильная. Первый от светофора. Сторона А работает в направлении движения к ул.Мельникайте.";"Размещение рекламной информации на призматроне 3*6 по адресу ул.50 лет Октября-Холодильная, сторона А, инв.28А3";"ООО "Тюменьстройбыт"";"1";"1";"Центр";"50 лет Октября";"3*6";"Призматрон";"А3";"ТОП";"57.148381,65.575437";21000;"RUB"
"UT000000905";"Призматрон 3*4";"Призматрон 3*4 ул.Республики - Пермякова, сторона С2";"170С2";"Республики-Пермякова";"Размещение рекламной информации на призматроне 3*4 по адресу ул.Республики-Пермякова, сторона В инв.170С2";"ООО "Тюменьстройбыт"";"1";"2";"Центр";"Республики-Пермякова";"3*4";"Призматрон";"С2";"ТОП";"57.127099,65.589845";12000;"RUB"
"UT000000748";"Призматрон 3*6";"Призматрон 3*6 ул.Мельникайте, 116 - Керама, сторона А1";"1А1";"Призматрон установлен на ул.Мельникайте, в 150м. от перекрестка с ул.30 лет Победы, рядом с центром отделочных материалов Керама. Ст. А -  от путепровода, к ул. Широтная";"Размещение рекламной информации на призматроне 3*6 по адресу ул.Мельникайте, 116-Керама инв.1А1";"ООО "Тюменьстройбыт"";"1";"0";"Спальные";"Мельникайте";"3*6";"Призматрон";"А1";"ТОП";"57.128881,65.558056";21000;"RUB"
"UT000000882";"Щиты 3*6";"Щит 3*6 ул.Дружбы - Тобольский тр/Мельникайте, (поворот на Тарманы), сторона А";"74А";"Тобольский тр. - Мельникайте";"Размещение рекламной информации на щите 3*6 по адресу ул.Тобольский тр/Мельникайте, сторона А, инв.74А";"ООО "Тюменьстройбыт"";"1";"1";"Объездная";"Тобольский тракт";"3*6";"Щит";"A";"Средняя";"57.177694,65.606336";18000;"RUB"
"UT000000961";"Бин-Боксы";"Бин-Бокс ул.Республики - Мельникайте, (Газпром), сторона А2";"180А2";"";"Размещение рекламной информации на постерах 0,85*0,65 по адресу ул.Мельникайте - Республики, сторона А2, инв.";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Республики";"0,85*0,65";"БинБокс";"А2";"Низкая";"57.138399,65.569407";;"RUB"
"UT000000962";"Бин-Боксы";"Бин-Бокс ул.Республики - Мельникайте, (Газпром), сторона А1";"180А1";"";"Размещение рекламной информации на постерах 0,85*0,65 по адресу ул.Мельникайте - Республики, сторона А1, инв.";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Республики";"0,85*0,65";"БинБокс";"А2";"Низкая";"57.138399,65.569407";;"RUB"
"UT000001006";"Бин-Боксы";"Бин-Бокс ул.Республики 159 (гостиница Восток), сторона А1";"";"Республики 159 (гостиница Восток)";"Размещение рекламной информации на постерах 0,85*0,65 по адресу ул.Республики 159 (гостиница Восток), сторона А1, инв.";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Республики";"0,85*0,65";"БинБокс";"А1";"Низкая";"57.152192,65.532484";;"RUB"
"UT000001007";"Бин-Боксы";"Бин-Бокс ул.Республики 159 (гостиница Восток), сторона А2";"";"Республики 159 (гостиница Восток)";"Размещение рекламной информации на постерах 0,85*0,65 по адресу ул.Республики 159 (гостиница Восток), сторона А2, инв.";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Республики";"0,85*0,65";"БинБокс";"А2";"Низкая";"57.152192,65.532484";;"RUB"
"UT000001008";"Бин-Боксы";"Бин-Бокс ул.Ленина 37/Кирова 37 (ресторан Ермолаев), сторона А1";"";"Ленина 37/Кирова 37 (ресторан Ермолаев)";"Размещение рекламной информации на постерах 0,85*0,65 по адресу ул.Ленина 37/Кирова 37 (ресторан Ермолаев), сторона А1, инв.";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Ленина/Кирова";"0,85*0,65";"БинБокс";"А1";"Низкая";"57.152192,65.532484";;"RUB"
"UT000001009";"Бин-Боксы";"Бин-Бокс ул.Ленина 37/Кирова 37 (ресторан Ермолаев), сторона А2";"";"Ленина 37/Кирова 37 (ресторан Ермолаев)";"Размещение рекламной информации на постерах 0,85*0,65 по адресу ул.Ленина 37/Кирова 37 (ресторан Ермолаев), сторона А1, инв.";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Ленина/Кирова";"0,85*0,65";"БинБокс";"А2";"Низкая";"57.152192,65.532484";;"RUB"
"UT000001010";"Щиты 3*4";"Щит 3*4 ул.Осипенко-Комсомольская (Овентал Тауэр), сторона А";"192А1";"Осипенко - Комсомольская (Менделеев Хаус) (по направлению движения по ул. Осипенко в сторону Пррофсоюзной)";"Размещение рекламной информации на щите 3*4 по адресу ул.Осипенко-Комсомольская (Овентал Тауэр), сторона А1, инв.192А1";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Осипенко";"3*4";"Щит";"A";"Средняя";"57.156877,65.558297";12000;"RUB"
"UT000001011";"Щиты 3*4";"Щит 3*4 ул.Осипенко-Комсомольская (Овентал Тауэр), сторона С";"192С1";"Билборд расположен на пересечении ул.Осипенко- Менделеев Хаус (по направлению движения от ул. Немцова к Профсоюзной)";"Размещение рекламной информации на щите 3*4 по адресу ул.Осипенко-Комсомольская (Овентал Тауэр), сторона С1, инв.192С1";"ООО "Тюменьстройбыт"";"2";"2";"Центр";"Осипенко";"3*4";"Щит";"С";"Средняя";"57.156877,65.558297";12000;"RUB"
"UT000000115";"Щиты 3*6";"Щит 3*6 ул.30 лет Победы, 81а-Пермякова, сторона А";"95А";"30 лет Победы, 81а - ПермяковаБилборд установлен на ул.30 лет Победы в 200м. от перекрестка с ул.Пермякова. Сторона А работаетв направлении движения из жилого микрорайона в сторону путепровода, традиционно загруженного в часы пик.";"Размещение рекламной информации на щите 3*6 по адресу ул.30 лет Победы, 81а-Пермякова, сторона А, инв.95А";"ООО "Тюменьстройбыт"";"1";"1";"Спальные";"30 лет Победы";"3*6";"Щит";"A";"Средняя";"57.119539,65.584685";13890;"RUB"
"UT000000116";"Щиты 3*6";"Щит 3*6 ул.30 лет Победы, 81а-Пермякова, сторона В";"95В";"30 лет Победы, 81а - ПермяковаБилборд установлен на ул.30 лет Победы в 200м. от перекрестка с ул.Пермякова. Сторона В работаетв направлении движения от ул.Пермякова к жилым микрорайонам.";"Размещение рекламной информации на щите 3*6 по адресу ул.30 лет Победы, 81а-Пермякова, сторона В, инв.95В";"ООО "Тюменьстройбыт"";"1";"1";"Спальные";"30 лет Победы";"3*6";"Щит";"B";"Средняя";"57.119539,65.584685";13890;"RUB"
"UT000000117";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ - Новаторов, сторона А1";"190А1";"50 лет ВЛКСМ - НоваторовБилборд установлен на ул.50 лет ВЛКСМ, в районе нахождения крупных промышленных предприятий города. Сторона А1 работает в направлении движения к ул.Республики и ул.50 лет Октября.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ-Новаторов, сторона А1, инв.190А1";"ООО "Тюменьстройбыт"";"2";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"А1";"Средняя";"57.116035,65.609207";15000;"RUB"
"UT000000118";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ - Новаторов, сторона А2";"190А2";"50 лет ВЛКСМ - НоваторовБилборд установлен на ул.50 лет ВЛКСМ, в районе нахождения крупных промышленных предприятий города. Сторона А2 работает в направлении движения от ул.Республики и ул.50 лет Октября.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ-Новаторов, сторона А2, инв.190А2";"ООО "Тюменьстройбыт"";"2";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"А2";"Средняя";"57.116035,65.609207";15000;"RUB"
"UT000000119";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ, 46 - Холодильная, (АЗС Лукойл), сторона А";"159А";"50 лет ВЛКСМ - Холодильная (1) АЗС Лукойл. Билборд находится на перекрестке улиц 50 лет ВЛКСМ и Холодильная, в 500-х м. от ТРЦ Премьер (Л'Этуаль, Ecco) и ТЦ Премьер-Дом (мебель). Ст. А - к торговым центрам и путепроводу Мельникайте.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ, 46 - Холодильная, сторона А, инв.159А";"ООО "Тюменьстройбыт"";"1";"2";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"A";"ТОП";"57.13565,65.553883";18000;"RUB"
"UT000000120";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ, 46 - Холодильная, (АЗС Лукойл), сторона В";"159В";"50 лет ВЛКСМ - Холодильная (1) АЗС ЛукойлБилборд находится на перекрестке улиц 50 лет ВЛКСМ и Холодильная, в 500-х м. от ТРЦ Премьер (Л'Этуаль, Ecco) и ТЦ Премьер-Дом (мебель, материалы). Ст.В - к ул. Холодильная и центру.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ, 46 - Холодильная, сторона В, инв.159В";"ООО "Тюменьстройбыт"";"1";"2";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"B";"ТОП";"57.13565,65.553883";18000;"RUB"
"UT000000121";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ, 50в - Холодильная, (Автомойка), сторона А";"67А";"Билборд находится в 400-х м. от ТРЦ Премьер (Л'Этуаль, МегаМарт, Savage, Ecco) и ТЦ Премьер-Дом (мебель, отделочные материалы). Ст. А - к торговым центрам и путепроводу Мельникайте традиционно загруженному в часы пик.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ, д.50в - Холодильная, сторона А, инв.67А";"ООО "Тюменьстройбыт"";"1";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"A";"Средняя";"57.135011,65.555509";18000;"RUB"
"UT000000122";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ, 50в - Холодильная, (Автомойка), сторона В";"67В";"Билборд находится в 400-х м. от ТРЦ Премьер (Л'Этуаль, МегаМарт, Savage, Ecco) и ТЦ Премьер-Дом (мебель, отделочные материалы) вблизи от перекрестка с ул. Холодильная. Ст. В - к ул. Холодильная и центру города.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ, д.50в - Холодильная, сторона В, инв.67В";"ООО "Тюменьстройбыт"";"1";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"B";"Средняя";"57.135011,65.555509";18000;"RUB"
"UT000000123";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ - автосалон Хендай -1, сторона А";"162А";"50 лет ВЛКСМ автосалон Хендай 1 (между М.Тореза и Холодильная)Билборд установлен на ул.50 лет ВЛКСМ, в 250м. от автосалона Hyundai. Сторона А работает в направлении движения к ул.Холодильная - в центр города.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ-автосалон Хендай -1, сторона А, инв.162А";"ООО "Тюменьстройбыт"";"2";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"A";"ТОП";"57.138503,65.546191";18000;"RUB"
"UT000000124";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ - автосалон Хендай -1, сторона В";"162В";"50 лет ВЛКСМ автосалон Хендай 1 (между М.Тореза и Холодильная)Билборд установлен на ул.50 лет ВЛКСМ, в 250м. от автосалона Hyundai. Сторона В работает в направлении движения к автосалону Hyundai, а также путепроводу по ул.М.Тореза.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ-автосалон Хендай -1, сторона В, инв.162В";"ООО "Тюменьстройбыт"";"2";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"B";"ТОП";"57.138503,65.546191";18000;"RUB"
"UT000000125";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ - автосалон Хендай -2, сторона А";"163А";"50 лет ВЛКСМ автосалон Хендай 2 (между М.Тореза и Холодильная)Билборд установлен на ул.50 лет ВЛКСМ, в 150м. от автосалона Hyundai. Сторона А работает в направлении движения к ул.Холодильная - в центр города.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ-автосалон Хендай -2, сторона А, инв.163А";"ООО "Тюменьстройбыт"";"2";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"A";"ТОП";"57.138118,65.547103";18000;"RUB"
"UT000000126";"Щиты 3*6";"Щит 3*6 ул.50 лет ВЛКСМ - автосалон Хендай -2, сторона В";"163В";"50 лет ВЛКСМ автосалон Хендай 2 (между М.Тореза и Холодильная)Билборд установлен на ул.50 лет ВЛКСМ, в 150м. от автосалона Hyundai. Сторона В работает в направлении движения к автосалону Hyundai, а также путепроводу по ул.М.Тореза.";"Размещение рекламной информации на щите 3*6 по адресу ул.50 лет ВЛКСМ-автосалон Хендай -2, сторона В, инв.163В";"ООО "Тюменьстройбыт"";"2";"1";"Центр";"50 лет ВЛКСМ";"3*6";"Щит";"B";"ТОП";"57.138118,65.547103";18000;"RUB"
